"","TCGA-44-6778","TCGA-49-6742","TCGA-44-2661","TCGA-55-6984","TCGA-91-6829","TCGA-55-6968","TCGA-44-2655","TCGA-55-6979","TCGA-44-5645","TCGA-44-3396","TCGA-44-2668","TCGA-55-6971","TCGA-50-5933","TCGA-50-5932","TCGA-49-6761","TCGA-38-4632","TCGA-55-6980","TCGA-55-6982","TCGA-44-6146","TCGA-49-4512","TCGA-44-6777","TCGA-49-6745","TCGA-38-4626","TCGA-44-6147","TCGA-91-6828","TCGA-91-6849","TCGA-44-2662","TCGA-91-6831","TCGA-91-6836","TCGA-55-6975","TCGA-49-4490","TCGA-50-5939","TCGA-38-4625","TCGA-44-6776","TCGA-55-6978","TCGA-50-6595","TCGA-44-6148","TCGA-91-6847","TCGA-49-6743","TCGA-55-6986","TCGA-55-6972","TCGA-55-6983","TCGA-50-5935","TCGA-44-6145","TCGA-44-2657","TCGA-73-4676","TCGA-44-2665","TCGA-44-3398","TCGA-55-6985","TCGA-49-6744","TCGA-55-6981","TCGA-50-5936","TCGA-55-6970","TCGA-91-6835","TCGA-50-5931","TCGA-50-5930","TCGA-38-4627"
"ENSG00000002746",0.0221588939628,0.0600450597871,0.107408423396,0.00440506155618,0.0173261743359,0.00709374888743,0.018207707549,0.0533273640412,0.0520883198325,0.0414024792048,0.0178657069827,0.03007832911,0.00824411222149,0.00249477147858,0.0081035733315,0.0170287566198,0.0148883162818,0.0217913245923,0.0306652610476,0.0111130247084,0.0540232482093,0.00379163180277,0.0144795503759,0.0216718975562,0.011973562702,0.0406424335038,0.0277063143863,0.00689650895508,0.0339526759101,0.0192074285796,0.0211035033849,0.0194277248863,0.0277491310001,0.0465283752005,0.00742190751528,0.0148228475366,0.0177937740752,0.0191558529017,0.0771776365077,0.0192522935819,0.0233358034283,0.00258441750624,0.0182484400396,0.0217531132694,0.011586953651,0.0301164895847,0.0275878042828,0.0340825269908,0.0293988814027,0.0765919325482,0.026678947464,0.0281717770653,0.0123644979825,0.0916268571251,0.0105910085782,0.00435216981318,0.0477222496962
"ENSG00000004776",18.4645064129,13.1337584432,38.1774726877,16.3705114592,10.194857147,17.3352767527,48.6578779727,8.69749074908,27.4202593414,38.5398687656,21.3707626057,14.782031522,27.0907559875,32.0474693253,11.8292405827,10.6730847131,25.5245657464,21.0103211567,31.4494402372,8.14720235817,40.3248685319,16.5584491177,18.7042240679,17.7887956679,23.1751713208,21.9474971973,51.5054087551,11.8289846739,8.90947199874,20.5835705663,18.6080492042,36.0168696279,33.9725065677,11.0504891101,19.9228435698,26.2149567444,41.9367206128,20.3507576285,31.6734196656,22.6687930792,21.6162898911,8.25784427816,27.8036960021,16.7271070932,15.1824418906,14.7106055763,35.4736921588,44.990946792,19.0833546906,23.5866042776,15.8423421977,15.9110417724,13.8777919063,22.7481195688,25.2002716426,19.0416717494,26.020362654
"ENSG00000004799",35.1231524865,44.3585769153,16.9411593632,22.3557812209,23.5409952386,10.2520526007,22.5482654746,49.9151129175,22.3981928026,159.400597557,38.3468890756,37.7999200816,40.6607495836,53.2730321655,29.8254446283,28.4168082642,30.1359915143,34.6808279895,47.1780972316,20.6123196968,27.3863065327,52.0010429303,20.8835712992,100.252824119,54.7933903459,109.911907286,70.7380347123,64.5759095153,39.7510025547,15.1698094732,84.6442441901,36.2444671567,44.5310782517,179.650288373,36.1162600311,69.8060856814,81.0097797775,24.3373887117,32.555376678,55.2482672713,40.3519538785,21.9790897513,35.6755513703,64.4488395241,17.8625749254,186.380509877,60.1926160463,46.9952184237,29.0344448929,229.782119114,30.0651488132,50.9045434031,54.2961660892,9.37623026041,53.6628616261,88.3628674415,44.6211324539
"ENSG00000008300",0.202611403486,0.088074455533,0.125192402963,0.0897940505875,0.267429806859,0.157097417335,0.135051762906,0.190865810029,0.0971566507668,0.12050101658,0.11802121383,0.117074145122,0.0829878376509,0.130588420119,0.0380674601033,0.0612203010462,0.194831642714,0.236419561973,0.159092120419,0.0469842311124,0.0929017429268,0.0381677633718,0.062466740431,0.0810294331609,0.204900429126,0.132362214854,0.115363393632,0.0902491687631,0.0805620420437,0.154678434435,0.0830425893667,0.0997384637777,0.0972487505843,0.0780615535783,0.189268538943,0.1365858798,0.194273867608,0.118107680412,0.0879117422989,0.147656890155,0.195754640234,0.156093377674,0.0987358268001,0.10351484436,0.166625621954,0.0326482258217,0.0915406374922,0.142767829681,0.12330767762,0.102105218115,0.375982196979,0.111408788239,0.124464942209,0.178180261985,0.0554384675938,0.0635249582567,0.0304245251523
"ENSG00000010319",20.3427744947,1.66859601286,9.03513613067,4.64659052749,6.05181728531,5.1136713692,13.3853357061,3.82274334,41.6533332451,13.5675688698,7.22257236565,8.68420365591,16.3583850224,18.7024967369,45.1069698818,3.0372423701,10.9621297151,10.7761238419,8.38165992394,1.54852714082,12.8097816326,2.73151281291,13.9216499192,17.0103095857,20.6052027409,35.9250352787,14.4881289591,32.2217704611,10.9017665291,4.32052151452,3.80143887106,7.19554118162,11.7174103607,20.3394274916,23.7726763639,33.0633543152,11.7640165405,13.5597520228,8.45053535321,45.7920855084,51.0226483584,3.36353609093,16.1722111193,10.7192618265,5.75708116585,20.1433698847,3.39711581457,9.36047408733,9.88631990431,18.3799198142,7.79856531764,14.7488613545,29.5858403553,2.20531305086,26.6586274807,8.0232849787,16.6377561859
"ENSG00000011201",14.0218153434,25.0866778028,38.8776286844,60.4406601778,18.0863120527,12.2186592017,50.1887467826,29.0052906632,42.7200275336,34.5196230705,10.1230369181,46.6218065539,15.1611304432,37.5457475751,44.2965326783,7.78334992878,23.5202038405,57.9351227911,26.1657286666,41.3747492774,30.3901838502,19.1250078256,13.7446756352,24.7639868938,19.8267810595,43.465261426,15.6267761034,29.5735203521,37.4673158159,29.8190481059,29.5416659919,20.6524410903,19.9650626889,43.3578304636,22.3512326609,46.5459922862,20.2590310781,59.0432582084,35.843206521,33.9133524513,19.790268602,21.9017860311,70.8696332302,41.0763506598,19.9266684152,18.2445295019,28.722115701,29.2153806742,36.3572538774,60.9497752992,37.925814634,33.7909642753,54.348022591,22.422469343,40.5427951517,23.3627352812,19.831890207
"ENSG00000011426",0.313120615102,1.21543305901,0.781310524975,0.289062930948,0.952492889039,0.543765586498,0.47191034436,0.646885525713,0.373656635642,0.614664051954,1.06342299968,0.358653556039,0.271928174627,0.544729119702,0.395291821867,0.678091206718,0.276667114937,0.551174560088,0.36711327122,0.624697278656,0.627440669697,0.559270420989,0.509313126746,1.65405026508,0.324483150902,0.466478934738,0.26620697935,0.312381915731,0.236601356829,1.2173810085,1.34137539853,0.374560525234,0.124139769533,0.349968916595,0.499960281948,0.307233272409,0.432399911389,0.250291435042,0.35382711348,0.274710246994,0.536033859021,0.954512821933,0.757693852231,0.418015221669,0.780529345366,0.731849655547,0.465191115391,0.709964866293,0.657284684105,0.394291236082,0.709227187062,0.476769370843,0.557185987678,0.590135733419,0.191890683864,0.202189126551,0.702061605852
"ENSG00000019169",104.191567067,224.241611612,205.830884501,355.326169988,362.532696793,414.220836234,179.375345956,371.20409022,130.867725372,244.287264429,515.617668964,285.686400459,223.989364651,207.76330875,202.509252521,30.7205649728,192.77421999,181.490061838,150.621710225,164.613979675,187.988739443,125.651518251,464.80636465,100.59153541,142.076904153,90.9418521212,151.068997216,204.362891463,259.571636896,178.286650322,75.0790561333,262.512520894,419.127940684,122.098602908,214.356559095,176.150424148,163.214395073,197.400701352,80.4771753614,90.0073895097,209.227215913,462.330885579,202.376121678,218.860289862,180.235649241,208.055333895,335.256895402,243.959485418,249.323363249,159.044203872,265.266289391,252.925645365,174.015696515,67.3803419567,128.467543315,288.366858785,158.761962519
"ENSG00000022267",55.2384701452,25.0126572639,58.3828452482,63.2605292857,27.9200161788,20.5716115393,71.0037746397,27.6441884999,71.6396836335,81.5628592696,32.4453225989,49.146369739,62.4042714238,90.7615897648,37.8668077082,20.2463312386,70.1371896778,51.2690420254,84.2737235882,53.2993673758,63.1473678784,42.8801643835,48.3636720813,64.0637120162,52.9440464704,76.8163759761,72.5160929734,66.6475658437,38.221982872,40.8810756153,87.139430854,69.1955741717,64.1517230802,51.4090054662,59.6556082296,56.8024243108,90.938671362,61.352111013,82.5959003934,68.1320274726,64.0079582416,29.0741216246,56.4858027438,58.2264234502,36.653290449,48.7843382572,44.327487727,70.559614262,50.306782977,72.5767975225,68.9049844613,60.2419418103,69.0623271773,58.3271054114,49.5625717129,56.9572534766,106.461678488
"ENSG00000024526",0.0917235213131,0.202896162391,0.140400492472,0.096380307054,0.223126340061,0.111861114739,0.0929351739482,0.133145288861,0.0942170216003,0.0958022305963,0.179598923028,0.0616595557619,0.0390003479584,0.135722920912,0.0894495044061,0.316477018989,0.0493024172806,0.160359149015,0.0557953369983,0.252346975696,0.111810692511,0.295961137898,0.110086520579,0.164769190643,0.0424824194952,0.101788304139,0.0536195510538,0.0326252532377,0.0573641501022,0.22716102652,0.213282057838,0.064334595063,0.0267407078602,0.0576482155474,0.117035838359,0.0674253002686,0.0615138503783,0.0453102110049,0.124903847702,0.114930062211,0.104261450107,0.213956413721,0.172655464196,0.0795192451298,0.469836840116,0.224667081758,0.0845894123152,0.140429530712,0.130384711251,0.0832386094018,0.147244834539,0.0809151269621,0.128683764064,0.0886619359585,0.0651336264337,0.0463247343301,0.36497740543
"ENSG00000025423",32.2910165299,31.6241102933,30.7163507998,50.1921453067,32.9310812043,44.5178483628,24.4799101856,65.9020323735,37.2049799335,29.7523947071,34.5155241364,71.0549556224,65.0438465138,34.2414467863,63.1746123812,67.1971075431,46.0854593531,31.6102729365,57.7927314779,105.301993884,30.7844982627,74.3912151837,42.0459184951,23.8156459878,44.3417732781,29.1544641264,22.2007597511,36.3492995294,94.4780280672,96.8933190995,63.4655692267,41.723185478,97.6372064491,58.1784905544,37.2101024632,39.1350877471,41.1317672907,92.3986084772,39.7852924184,28.8625945151,37.5959273969,59.3315772107,26.7373932684,30.7161366493,27.8978858659,55.5054264946,31.4835495236,47.3583758221,48.7745331535,37.5222341415,21.5365568554,41.9046504161,60.3585758,26.0859649465,33.122036806,52.458520632,30.9265488468
